Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
Harold Davidson & Associates Inc.;0001430022;9/30/2025;7165;38,406;;67066G104
Telos Capital Management, Inc.;0001567889;9/30/2025;7156;38,358;;67066G104
BENNETT SELBY INVESTMENTS LP;0001840740;9/30/2025;7155;38,351;;67066G104
Twin Lakes Capital Management, LLC;0001847794;9/30/2025;7152;38,337;;67066G104
FLAGSHIP WEALTH ADVISORS, LLC;0002036117;9/30/2025;7140;38,273;;67066G104
Western Pacific Wealth Management, LP;0001907320;9/30/2025;7138;38,259;;67066G104
Sunburst Financial Group, LLC;0001800158;9/30/2025;7130;38,215;;67066G104
Legacy Capital Wealth Partners, LLC;0001766228;9/30/2025;7117;38,149;;67066G104
GoalVest Advisory LLC;0001839307;9/30/2025;7114;38,132;;67066G104
May Hill Capital, LLC;0002056340;9/30/2025;7109;38,103;;67066G104
Keeler Thomas Management LLC;0001730660;9/30/2025;7096;38,035;;67066G104
FWG Holdings, LLC;0001862067;9/30/2025;7865;37,988;;67066G104
CENTRAL VALLEY ADVISORS, LLC;0002010698;9/30/2025;7085;37,976;;67066G104
Peachtree Investment Partners, LLC;0001743863;9/30/2025;7084;37,972;;67066G104
Westhampton Capital, LLC;0001639997;9/30/2025;7080;37,950;;67066G104
ABLE Financial Group, LLC;0001977500;9/30/2025;7077;37,935;;67066G104
SAXON INTERESTS, INC.;0001905867;9/30/2025;6599;37,889;;67066G104
Terra Alpha Investments LLC;0002055566;9/30/2025;7066;37,874;;67066G104
BCWM, LLC;0001542165;9/30/2025;7065;37,869;;67066G104
Triton Financial Group Inc;0001811805;9/30/2025;7053;37,803;;67066G104
SCHARF INVESTMENTS, LLC;0001463746;9/30/2025;7047;37,773;;67066G104
Total Clarity Wealth Management, Inc.;0001804909;9/30/2025;7041;37,742;;67066G104
OPTIMAS CAPITAL Ltd;0001750585;9/30/2025;7034;37,700;;67066G104
Leo Wealth, LLC;0001912202;9/30/2025;7027;37,663;;67066G104
SCHOLTZ & COMPANY, LLC;0001606134;9/30/2025;7019;37,622;;67066G104
Trail Ridge Investment Advisors, LLC;0001911013;9/30/2025;7017;37,609;;67066G104
Quantum Financial Advisors, LLC;0001929139;9/30/2025;7016;37,606;;67066G104
Siren, L.L.C.;0002005245;9/30/2025;6993;37,485;;67066G104
Snider Financial Group;0001820681;9/30/2025;6989;37,464;;67066G104
Bellecapital International Ltd.;0001600152;9/30/2025;6988;37,455;;67066G104
BRASADA CAPITAL MANAGEMENT, LP;0001643833;9/30/2025;7071;37,438;;67066G104
Capital Advisors Wealth Management, LLC;0001824700;9/30/2025;6981;37,417;;67066G104
Richmond Investment Services, LLC;0002031991;9/30/2025;6967;37,344;;67066G104
Catalina Capital Group, LLC;0002018090;9/30/2025;6966;37,337;;67066G104
Holistic Financial Partners;0001729304;9/30/2025;6959;37,301;;67066G104
PATTEN & PATTEN INC/TN;0001044905;9/30/2025;6951;37,260;;67066G104
Horizon Wealth Management, LLC;0001815123;9/30/2025;6947;37,235;;67066G104
Great Waters Wealth Management;0001964535;9/30/2025;6944;37,222;;67066G104
CHEMUNG CANAL TRUST CO;0000790354;9/30/2025;6938;37,188;;67066G104
Leeward Financial Partners, LLC;0001735201;9/30/2025;6933;37,158;;67066G104
Comprehensive Financial Planning, Inc./PA;0002044855;9/30/2025;6930;37,143;;67066G104
WOODWARD DIVERSIFIED CAPITAL, LLC;0001846177;9/30/2025;6928;37,135;;67066G104
DOLIVER ADVISORS, LP;0000938077;9/30/2025;6923;37,106;;67066G104
CONSOLIDATED CAPITAL MANAGEMENT, LLC;0001666613;9/30/2025;6923;37,105;;67066G104
Centiva Capital, LP;0001692507;9/30/2025;6923;37,105;;67066G104
Curated Wealth Partners LLC;0001781284;9/30/2025;6912;37,049;;67066G104
Blackstone Inc.;0001393818;9/30/2025;6911;37,045;;67066G104
City State Bank;0001910666;9/30/2025;6908;37,025;;67066G104
BUTENSKY & COHEN FINANCIAL SECURITY, INC;0001632802;9/30/2025;6892;36,942;;67066G104
FULLER & THALER ASSET MANAGEMENT, INC.;0001082327;9/30/2025;6881;36,883;;67066G104
Benin Management CORP;0001352871;9/30/2025;6879;36,874;;67066G104
Corps Capital Advisors, LLC;0002054234;9/30/2025;6876;36,854;;67066G104
Sequent Planning LLC;0002009724;9/30/2025;6867;36,808;;67066G104
CHILTON INVESTMENT CO INC.;0001332632;9/30/2025;6853;36,734;;67066G104
Cardinal Point Capital Management ULC;0001950841;9/30/2025;6879;36,731;;67066G104
Texas Bank & Trust Co;0002056556;9/30/2025;6851;36,722;;67066G104
Prestige Wealth Management Group LLC;0001772715;9/30/2025;6846;36,691;;67066G104
New Republic Capital, LLC;0001989988;9/30/2025;6845;36,688;;67066G104
Omnia Family Wealth, LLC;0001696136;9/30/2025;6825;36,579;;67066G104
Sovereign Financial Group, Inc.;0001846175;9/30/2025;6824;36,579;;67066G104
Whalen Wealth Management Inc.;0001894447;9/30/2025;6808;36,490;;67066G104
AAFMAA Wealth Management & Trust LLC;0001846160;9/30/2025;6805;36,474;;67066G104
Cannon Advisors, Inc.;0001805370;9/30/2025;6643;36,471;;67066G104
Ayrshire Capital Management LLC;0001801563;9/30/2025;6786;36,374;;67066G104
Greenfield Savings Bank;0001940406;9/30/2025;6782;36,352;;67066G104
Adams Wealth Management;0001803084;9/30/2025;6781;36,350;;67066G104
Curran Financial Partners, LLC;0001843867;9/30/2025;6757;36,220;;67066G104
LM Advisors LLC;0002011314;9/30/2025;6758;36,219;;67066G104
Powell Investment Advisors, LLC;0001802195;9/30/2025;6752;36,188;;67066G104
WEALTHEDGE INVESTMENT ADVISORS, LLC;0002058455;9/30/2025;6750;36,179;;67066G104
Nabity-Jensen Investment Management Inc;0002044851;9/30/2025;6746;36,157;;67066G104
L. Roy Papp & Associates, LLP;0000809339;9/30/2025;6743;36,140;;67066G104
HENGEHOLD CAPITAL MANAGEMENT LLC;0001536430;9/30/2025;6739;36,121;;67066G104
Willis Johnson & Associates, Inc.;0001853239;9/30/2025;6735;36,100;;67066G104
BridgePort Financial Solutions, LLC;0002031775;9/30/2025;6729;36,066;;67066G104
Winthrop Advisory Group LLC;0001739043;9/30/2025;6722;36,028;;67066G104
Waratah Capital Advisors Ltd.;0001539919;9/30/2025;6716;36,000;put;67066G104
Financial & Tax Architects, LLC;0001758543;9/30/2025;6709;35,961;;67066G104
Ironwood Investment Counsel, LLC;0001330463;9/30/2025;6696;35,892;;67066G104
BARINGS LLC;0000009015;9/30/2025;6690;35,858;;67066G104
Strategic Family Wealth Counselors, L.L.C.;0001729755;9/30/2025;6685;35,830;;67066G104
GERBER, LLC;0002014164;9/30/2025;6681;35,813;;67066G104
Marble Harbor Investment Counsel, LLC;0001387130;9/30/2025;6669;35,747;;67066G104
Greystone Financial Group, LLC;0001845302;9/30/2025;6665;35,724;;67066G104
Crescent Grove Advisors, LLC;0001713520;9/30/2025;6648;35,631;;67066G104
Old North State Wealth Management, LLC;0002041262;9/30/2025;6649;35,629;;67066G104
Nvest Financial, LLC;0001915315;9/30/2025;6640;35,588;;67066G104
Barden Capital Management, Inc.;0001906798;9/30/2025;6628;35,527;;67066G104
626 Financial, LLC;0001911035;9/30/2025;6626;35,517;;67066G104
Landing Point Financial Group, LLC;0002025964;9/30/2025;6625;35,512;;67066G104
NICHOLS & PRATT ADVISERS LLP /MA;0001141781;9/30/2025;6593;35,340;;67066G104
Claret Asset Management Corp;0001735513;9/30/2025;6581;35,271;;67066G104
ALLIUM FINANCIAL ADVISORS, LLC;0002067277;9/30/2025;6580;35,269;;67066G104
COOPER INVESTORS PTY LTD;0001561728;9/30/2025;6560;35,162;;67066G104
Crewe Advisors LLC;0001730033;9/30/2025;6557;35,144;;67066G104
First City Capital Management, Inc.;0001427350;9/30/2025;6556;35,141;;67066G104
Fairvoy Private Wealth, LLC;0002046607;9/30/2025;6550;35,106;;67066G104
Brucke Financial, Inc.;0002058446;9/30/2025;7100;35,064;;67066G104
Enterprise Financial Services Corp;0001025835;9/30/2025;6540;35,053;;67066G104
MONETTA FINANCIAL SERVICES INC;0000869179;9/30/2025;6530;35,000;;67066G104
OV Management LLC;0002010766;9/30/2025;6529;34,998;;67066G104
VISTA CAPITAL PARTNERS, INC.;0001486946;9/30/2025;6526;34,980;;67066G104
WMG Financial Advisors, LLC;0001906711;9/30/2025;6520;34,948;;67066G104
Lee Financial Co;0001391166;9/30/2025;6514;34,916;;67066G104
KEELER & NADLER FINANCIAL PLANNING & WEALTH MANAGEMENT;0002035883;9/30/2025;6510;34,893;;67066G104
G2 CAPITAL MANAGEMENT, LLC / OH;0001910858;9/30/2025;6506;34,872;;67066G104
STRATEGY ASSET MANAGERS LLC;0001166716;9/30/2025;6506;34,870;;67066G104
CARDEROCK CAPITAL MANAGEMENT INC;0001168889;9/30/2025;6499;34,836;;67066G104
Columbia Asset Management;0001585047;9/30/2025;6499;34,834;;67066G104
Graphene Investments SAS;0001965776;9/30/2025;6492;34,800;;67066G104
GREAT LAKES ADVISORS, LLC;0001078013;9/30/2025;6492;34,796;;67066G104
CONSCIOUS WEALTH INVESTMENTS, LLC;0002011014;9/30/2025;7045;34,792;;67066G104
LCNB CORP;0001074902;9/30/2025;6484;34,755;;67066G104
Bridge Creek Capital Management LLC;0001670903;9/30/2025;6478;34,725;;67066G104
Cresset Asset Management, LLC;0001761013;9/30/2025;6474;34,700;call;67066G104
RiverPark Advisors, LLC;0001484256;9/30/2025;6451;34,580;;67066G104
TRAPHAGEN INVESTMENT ADVISORS LLC;0002023380;9/30/2025;6442;34,528;;67066G104
Foster Group, Inc.;0001841544;9/30/2025;6442;34,527;;67066G104
PREVAIL INNOVATIVE WEALTH ADVISORS, LLC;0001989941;9/30/2025;6437;34,505;;67066G104
Maxele Advisors, LLC;0002096567;9/30/2025;6424;34,431;;67066G104
VestGen Investment Management;0001511739;9/30/2025;6410;34,360;;67066G104
Samalin Investment Counsel, LLC;0001544366;9/30/2025;6401;34,310;;67066G104
Byrne Asset Management LLC;0001911322;9/30/2025;6393;34,268;;67066G104
Beacon Financial Advisory LLC;0001800502;9/30/2025;6387;34,236;;67066G104
International Private Wealth Advisors LLC;0002022637;9/30/2025;6379;34,194;;67066G104
Key Financial Inc;0001801720;9/30/2025;6394;34,154;;67066G104
Trust Investment Advisors;0001597690;9/30/2025;6372;34,152;;67066G104
Measured Wealth Private Client Group, LLC;0001720235;9/30/2025;6368;34,133;;67066G104
Whelan Financial;0001894921;9/30/2025;6367;34,128;;67066G104
FLC Capital Advisors;0001713697;9/30/2025;6352;34,048;;67066G104
Accel Wealth Management;0001838226;9/30/2025;6339;33,978;;67066G104
Ariadne Wealth Management, LP;0002034793;9/30/2025;6347;33,971;;67066G104
BCM ADVISORS, LLC;0001373017;9/30/2025;6824;33,947;;67066G104
Greater Midwest Financial Group, LLC;0002025409;9/30/2025;6329;33,926;;67066G104
Greenland Capital Management LP;0001896430;9/30/2025;6316;33,853;;67066G104
WINEBRENNER CAPITAL MANAGEMENT LLC;0002047728;9/30/2025;6312;33,830;;67066G104
Gradient Capital Advisors, LLC;0001727917;9/30/2025;6308;33,809;;67066G104
BARR E S & CO;0001040210;9/30/2025;6291;33,722;;67066G104
Clay Northam Wealth Management, LLC;0001915687;9/30/2025;6288;33,701;;67066G104
Fi3 FINANCIAL ADVISORS, LLC;0001862427;9/30/2025;6281;33,664;;67066G104
Kraft, Davis & Associates, LLC;0001919438;9/30/2025;6243;33,659;;67066G104
First Interstate Bank;0001125727;9/30/2025;6276;33,639;;67066G104
Raleigh Capital Management Inc.;0001911726;9/30/2025;6272;33,617;;67066G104
Sulzberger Capital Advisors, Inc.;0002056727;9/30/2025;6269;33,601;;67066G104
Brady Martz Wealth Solutions, LLC;0002049470;9/30/2025;6263;33,572;;67066G104
Walker Asset Management, LLC;0001923053;9/30/2025;6258;33,546;;67066G104
Shay Capital LLC;0001723643;9/30/2025;6250;33,500;call;67066G104
PAYDEN & RYGEL;0000919219;9/30/2025;6250;33,500;;67066G104
Lakeridge Wealth Management LLC;0002012028;9/30/2025;6230;33,393;;67066G104
DLK Investment Management, LLC;0002016793;9/30/2025;6221;33,346;;67066G104
Wellspring Financial Advisors, LLC;0001811308;9/30/2025;6579;33,345;;67066G104
Delta Investment Management, LLC;0001757043;9/30/2025;6219;33,332;;67066G104
Andrew Hill Investment Advisors, Inc.;0001897071;9/30/2025;6219;33,332;;67066G104
Chancellor Financial Group WB LP;0002059742;9/30/2025;6215;33,313;;67066G104
WEALTH ENHANCEMENT ADVISORY SERVICES, LLC;0001632972;9/30/2025;298;33,302;put;67066G104
PATRIOT INVESTMENT MANAGEMENT GROUP, INC.;0001773830;9/30/2025;6213;33,301;;67066G104
Syntegra Private Wealth Group, LLC;0001964298;9/30/2025;6208;33,274;;67066G104
Sender Co & Partners, Inc.;0001659380;9/30/2025;6202;33,244;;67066G104
Rossby Financial, LCC;0002056510;9/30/2025;6223;33,238;;67066G104
Mattern Wealth Management LLC;0001802376;9/30/2025;6193;33,194;;67066G104
BALLAST ADVISORS LLC;0001803415;9/30/2025;6188;33,169;;67066G104
LJI Wealth Management, LLC;0001988563;9/30/2025;6182;33,139;;67066G104
New Capital Management LP;0001696731;9/30/2025;6175;33,096;;67066G104
TRED AVON FAMILY WEALTH, LLC;0002094435;9/30/2025;6170;33,073;;67066G104
McGlone Suttner Wealth Management, Inc.;0001964819;9/30/2025;6164;33,040;;67066G104
M3 Advisory Group, LLC;0002014826;9/30/2025;6160;33,016;;67066G104
CLIENT 1ST ADVISORY GROUP, LLC;0001802816;9/30/2025;6153;32,981;;67066G104
VIRTUE ASSET MANAGEMENT LLC;0002094533;9/30/2025;6116;32,780;;67066G104
Tennessee Valley Asset Management Partners;0001826790;9/30/2025;6104;32,720;;67066G104
MAINSTAY CAPITAL MANAGEMENT LLC /ADV;0001127612;9/30/2025;6087;32,627;;67066G104
WALTER & KEENAN WEALTH MANAGEMENT LLC /IN/ /ADV;0000752365;9/30/2025;6086;32,622;;67066G104
Veracity Capital LLC;0001811005;9/30/2025;6082;32,602;;67066G104
Impact Partnership Wealth, LLC;0001984555;9/30/2025;6082;32,600;;67066G104
VALLEY NATIONAL ADVISERS INC;0000773411;9/30/2025;6081;32,593;;67066G104
Insight Wealth Strategies, LLC;0001749914;9/30/2025;6069;32,528;;67066G104
RIVERSEDGE ADVISORS, LLC;0001787663;9/30/2025;6068;32,526;;67066G104
Carr Financial Group Corp;0001931232;9/30/2025;6065;32,510;;67066G104
VALLEY WEALTH MANAGERS, INC.;0000924166;9/30/2025;6065;32,509;;67066G104
Frisch Financial Group, Inc.;0001767730;9/30/2025;6064;32,500;;67066G104
WINCAP FINANCIAL LLC;0002064588;9/30/2025;6062;32,494;;67066G104
Canton Hathaway, LLC;0001755785;9/30/2025;6058;32,468;;67066G104
Grey Fox Wealth Advisors, LLC;0001965362;9/30/2025;6055;32,452;;67066G104
Maven Securities LTD;0001633046;9/30/2025;6042;32,407;;67066G104
Opes Wealth Management LLC;0001766918;9/30/2025;6037;32,360;;67066G104
Hobart Private Capital, LLC;0001767062;9/30/2025;6027;32,304;;67066G104
INTEGRAL INVESTMENT ADVISORS, INC.;0001902826;9/30/2025;6017;32,250;;67066G104
Summit Global Investments;0001697953;9/30/2025;6014;32,234;;67066G104
High Note Wealth, LLC;0001807283;9/30/2025;6004;32,182;;67066G104
Capital Advisors, Ltd. LLC;0001597878;9/30/2025;6004;32,180;;67066G104
JACKSON THORNTON WEALTH MANAGEMENT, LLC;0001903880;9/30/2025;6075;32,127;;67066G104
Sonoma Private Wealth LLC;0001965757;9/30/2025;5992;32,116;;67066G104
ST. NICHOLAS PRIVATE ASSET MANAGEMENT, INC;0002054680;9/30/2025;5990;32,106;;67066G104
Provident Co of the Employees of the Hebrew University LTD;0002016961;9/30/2025;5974;32,105;;67066G104
Sphera Management Technology Funds Ltd;0002030525;9/30/2025;5983;32,070;;67066G104
North Star Investment Management Corp.;0001342857;9/30/2025;5980;32,053;;67066G104
Avantra Family Wealth, Inc.;0001774744;9/30/2025;5980;32,053;;67066G104
Redwood Wealth Management Group, LLC;0001963839;9/30/2025;5979;32,047;;67066G104
Foster Victor Wealth Advisors, LLC;0001769063;9/30/2025;6011;32,040;;67066G104
West Wealth Group, LLC;0001923591;9/30/2025;5753;31,994;;67066G104
Westfuller Advisors, LLC;0002024115;9/30/2025;5962;31,955;;67066G104
Panoramic Capital, LLC;0001950490;9/30/2025;5955;31,920;;67066G104
Integrity Advisory Solutions, LLC;0002057931;9/30/2025;5955;31,919;;67066G104
Mach-1 Financial Group, LLC;0001843358;9/30/2025;5955;31,919;;67066G104
Hamilton Point Investment Advisors, LLC;0001599746;9/30/2025;5955;31,917;;67066G104
Coastwise Capital Group, LLC;0001934500;9/30/2025;5953;31,909;;67066G104
Gladius Capital Management LP;0001540656;9/30/2025;5952;31,904;;67066G104
Freedom Day Solutions, LLC;0001467517;9/30/2025;5942;31,849;;67066G104
Red Wave Investments LLC;0001846493;9/30/2025;5942;31,849;;67066G104
Prospect Hill Management, LLC;0001837320;9/30/2025;5939;31,834;;67066G104
Altshuler Shaham Ltd;0001324290;9/30/2025;5932;31,796;;67066G104
WEDGE CAPITAL MANAGEMENT L L P/NC;0001015308;9/30/2025;5932;31,794;;67066G104
Purkiss Capital Advisors LLC;0002053150;9/30/2025;5928;31,774;;67066G104
Resurgent Financial Advisors LLC;0001912339;9/30/2025;5913;31,696;;67066G104
Breakwater Capital Group;0001964309;9/30/2025;5911;31,686;;67066G104
Financial Management Professionals, Inc.;0001568132;9/30/2025;5909;31,670;;67066G104
Goldstein Advisors, LLC;0001963807;9/30/2025;5906;31,657;;67066G104
Scissortail Wealth Management, LLC;0001906793;9/30/2025;5904;31,646;;67066G104
KRAEMATON INVESTMENT ADVISORS, INC;0001910852;9/30/2025;5898;31,613;;67066G104
Aspen Grove Capital, LLC;0001806027;9/30/2025;5895;31,593;;67066G104
CAP Partners, LLC;0002006870;9/30/2025;5892;31,580;;67066G104
Wealthstream Advisors, Inc.;0001833780;9/30/2025;5888;31,560;;67066G104
Roberts Capital Advisors, LLC;0001883719;9/30/2025;5878;31,508;;67066G104
Cresset Asset Management, LLC;0001761013;9/30/2025;2910;31,400;put;67066G104
Boomfish Wealth Group, LLC;0002010786;9/30/2025;5854;31,379;;67066G104
Bridgewealth Advisory Group, LLC;0001801982;9/30/2025;5850;31,355;;67066G104
COURIER CAPITAL LLC;0001015247;9/30/2025;5819;31,192;;67066G104
IFG Advisors, LLC;0001783412;9/30/2025;5818;31,183;;67066G104
CWC Advisors, LLC.;0001520683;9/30/2025;5806;31,119;;67066G104
Caerus Investment Advisors, LLC;0001862682;9/30/2025;5803;31,105;;67066G104
Vienna Asset Management LLC;0001913545;9/30/2025;5803;31,103;;67066G104
Balentine LLC;0001586678;9/30/2025;5801;31,095;;67066G104
Saxony Capital Management, LLC;0001561330;9/30/2025;5791;31,038;;67066G104
SHARPEPOINT LLC;0002046822;9/30/2025;5785;31,006;;67066G104
Mill Creek Capital Advisors, LLC;0001964962;9/30/2025;5780;30,983;;67066G104
Farrow Financial, Inc.;0002010644;9/30/2025;5777;30,966;;67066G104
Net Worth Advisory Group;0001791998;9/30/2025;5775;30,957;;67066G104
CONSILIO WEALTH ADVISORS, LLC;0001908944;9/30/2025;5772;30,939;;67066G104
Integrated Quantitative Investments LLC;0002046834;9/30/2025;5767;30,911;;67066G104
Abel Hall, LLC;0002013339;9/30/2025;5763;30,892;;67066G104
Alpine Bank Wealth Management;0001974910;9/30/2025;5753;30,839;;67066G104
Symphony Financial Services, Inc.;0002031979;9/30/2025;5745;30,793;;67066G104
Successful Portfolios LLC;0001721780;9/30/2025;5731;30,721;;67066G104
Axecap Investments, LLC;0002030036;9/30/2025;5730;30,715;;67066G104
First Command Advisory Services, Inc.;0001727336;9/30/2025;5726;30,692;;67066G104
1834 INVESTMENT ADVISORS CO;0001138486;9/30/2025;5725;30,684;;67066G104
Amica Retiree Medical Trust;0001599950;9/30/2025;5723;30,676;;67066G104
Wealth Architects, LLC;0001611518;9/30/2025;5714;30,626;;67066G104
HOEY INVESTMENTS, INC;0001799544;9/30/2025;5690;30,500;call;67066G104
Murphy & Mullick Capital Management Corp;0002047271;9/30/2025;5837;30,486;;67066G104
Triumph Capital Management;0001730765;9/30/2025;5683;30,463;;67066G104
SPRENG CAPITAL MANAGEMENT, INC.;0001800913;9/30/2025;5665;30,366;;67066G104
Wakefield Asset Management LLLP;0001600435;9/30/2025;5658;30,328;;67066G104
Francis Financial, Inc.;0001727514;9/30/2025;7790;30,309;;67066G104
MCDONALD PARTNERS LLC;0001331074;9/30/2025;5653;30,299;;67066G104
Argent Advisors, Inc.;0001426851;9/30/2025;5648;30,274;;67066G104
Transcendent Capital Group LLC;0002013703;9/30/2025;5644;30,254;;67066G104
Carl P. Sherr & Co., LLC;0001818535;9/30/2025;5631;30,183;;67066G104
Stokes Family Office, LLC;0001802278;9/30/2025;5625;30,150;;67066G104
Mascagni Wealth Management, Inc.;0002063074;9/30/2025;5610;30,068;;67066G104
Center For Asset Management LLC;0001844878;9/30/2025;5605;30,044;;67066G104
Safeguard Investment Advisory Group, LLC;0001846711;9/30/2025;5599;30,011;;67066G104
Grey Ledge Advisors, LLC;0001660694;9/30/2025;5597;30,003;;67066G104
Straight Path Wealth Management;0001902506;9/30/2025;514;30,000;;67066G104
Massar Capital Management, LP;0002037238;9/30/2025;5597;30,000;put;67066G104
Plan A Wealth LLC;0002093645;9/30/2025;5596;29,997;;67066G104
SSA SWISS ADVISORS AG;0002066265;9/30/2025;5572;29,969;;67066G104
PKS Advisory Services, LLC;0001605401;9/30/2025;5589;29,956;;67066G104
FIRST UNITED BANK & TRUST;0001214183;9/30/2025;5579;29,902;;67066G104
Future Fund LLC;0001911970;9/30/2025;5570;29,856;;67066G104
Mechanics Financial Corp;0001821336;9/30/2025;5568;29,847;;67066G104
AGH Wealth Advisors, LLC;0002061010;9/30/2025;5567;29,842;;67066G104
PARR MCKNIGHT WEALTH MANAGEMENT GROUP, LLC;0002026926;9/30/2025;5566;29,836;;67066G104
SAGE RHINO CAPITAL LLC;0001771605;9/30/2025;5564;29,821;;67066G104
Maia Wealth LLC;0002010858;9/30/2025;5932;29,806;;67066G104
Kohmann Bosshard Financial Services, LLC;0001696615;9/30/2025;5559;29,797;;67066G104
UDINE WEALTH MANAGEMENT, INC.;0001907240;9/30/2025;5559;29,795;;67066G104
Stablepoint Partners, LLC;0002011237;9/30/2025;5558;29,793;;67066G104
YANKCOM Partnership;0002036975;9/30/2025;5553;29,765;;67066G104
Meadowbrook Wealth Management, LLC;0002090468;9/30/2025;5552;29,757;;67066G104
Avion Wealth;0001792704;9/30/2025;5542;29,708;;67066G104
G&S Capital LLC;0001731448;9/30/2025;5541;29,698;;67066G104
Biltmore Family Office, LLC;0001731123;9/30/2025;5540;29,694;;67066G104
SPC Financial, Inc.;0001415201;9/30/2025;5538;29,682;;67066G104
Hilltop Holdings Inc.;0001265131;9/30/2025;5536;29,673;;67066G104
Hofer & Associates. Inc;0001958491;9/30/2025;5528;29,629;;67066G104
Almanack Investment Partners, LLC.;0001680613;9/30/2025;5528;29,629;;67066G104
Navis Wealth Advisors, LLC;0001849055;9/30/2025;5517;29,571;;67066G104
4J Wealth Management LLC;0001840775;9/30/2025;5490;29,427;;67066G104
Kuhn & Co Investment Counsel;0002011958;9/30/2025;5458;29,257;;67066G104
Private Wealth Asset Management, LLC;0001883006;9/30/2025;5457;29,251;;67066G104
Cohen Investment Advisors LLC;0001845081;9/30/2025;5453;29,229;;67066G104
Cresta Advisors, Ltd.;0001947670;9/30/2025;5448;29,202;;67066G104
Valley Brook Capital Group, Inc.;0001851418;9/30/2025;5447;29,198;;67066G104
Family Capital Trust Co;0001123320;9/30/2025;5447;29,197;;67066G104
MUIRFIELD WEALTH ADVISORS LLC;0002014898;9/30/2025;5436;29,136;;67066G104
Precision Wealth Strategies, LLC;0001844197;9/30/2025;5435;29,133;;67066G104
Prasad Wealth Partners, LLC;0002048885;9/30/2025;5433;29,120;;67066G104
waypoint wealth counsel;0001807909;9/30/2025;5431;29,109;;67066G104
Hilltop Partners LLC;0001957867;9/30/2025;5421;29,059;;67066G104
Palisades Hudson Asset Management, L.P.;0001388443;9/30/2025;5412;29,003;;67066G104
PROFFITT & GOODSON INC;0001123812;9/30/2025;5399;28,937;;67066G104
Capital Advisory Group Advisory Services, LLC;0001803229;9/30/2025;5397;28,928;;67066G104
BOURGEON CAPITAL MANAGEMENT LLC;0001088731;9/30/2025;5397;28,926;;67066G104
BEESE FULMER INVESTMENT MANAGEMENT, INC.;0000911274;9/30/2025;5393;28,909;;67066G104
WNY Asset Management, LLC;0001803296;9/30/2025;5382;28,849;;67066G104
Berkeley Capital Partners, LLC;0001667694;9/30/2025;5378;28,827;;67066G104
SYKON CAPITAL LLC;0001988408;9/30/2025;5364;28,754;;67066G104
Insight Wealth Partners, LLC;0001627003;9/30/2025;5360;28,731;;67066G104
Coyle Financial Counsel LLC;0001593038;9/30/2025;5360;28,730;;67066G104
Bouchey Financial Group Ltd;0001599054;9/30/2025;5358;28,717;;67066G104
New World Advisors LLC;0001767724;9/30/2025;5357;28,715;;67066G104
Mustard Seed Financial, LLC;0002011321;9/30/2025;5348;28,665;;67066G104
St. Johns Investment Management Company, LLC;0001605522;9/30/2025;5345;28,648;;67066G104
Ullmann Wealth Partners Group, LLC;0001697725;9/30/2025;5342;28,636;;67066G104
Elmwood Wealth Management, Inc.;0001731927;9/30/2025;5333;28,584;;67066G104
MOSAIC FAMILY WEALTH PARTNERS, LLC;0001965241;9/30/2025;5197;28,583;;67066G104
FINANCIAL CONSULATE, INC;0001624510;9/30/2025;5323;28,534;;67066G104
BROWN, LISLE/CUMMINGS, INC.;0000014745;9/30/2025;5321;28,521;;67066G104
PINNBROOK CAPITAL MANAGEMENT LP;0001856103;9/30/2025;5315;28,491;;67066G104
Legacy Wealth Asset Management, LLC;0001846151;9/30/2025;5315;28,490;;67066G104
Kensington Investment Counsel, LLC;0001845536;9/30/2025;5310;28,461;;67066G104
Finivi Inc.;0002101641;9/30/2025;5291;28,362;;67066G104
Vickerman Investment Advisors, Inc.;0001898296;9/30/2025;5287;28,337;;67066G104
UNTITLED INVESTMENTS LP;0001808696;9/30/2025;5284;28,325;;67066G104
Aspen Capital Management, LLC;0002065974;9/30/2025;5277;28,284;;67066G104
WASHBURN CAPITAL MANAGEMENT, INC.;0001793923;9/30/2025;5274;28,269;;67066G104
TODD ASSET MANAGEMENT LLC;0001071483;9/30/2025;5261;28,200;;67066G104
PLATINUM INVESTMENT MANAGEMENT LTD;0001256071;9/30/2025;5259;28,191;;67066G104
All Terrain Financial Advisors, LLC;0001731358;9/30/2025;5254;28,165;;67066G104
SOUTH PLAINS FINANCIAL, INC.;0001163668;9/30/2025;5251;28,148;;67066G104
MAGNOLIA CAPITAL ADVISORS LLC;0001803662;9/30/2025;5250;28,143;;67066G104
DELTA ASSET MANAGEMENT LLC/TN;0000860857;9/30/2025;5245;28,116;;67066G104
Pinnacle West Asset Management, Inc.;0001975730;9/30/2025;5237;28,070;;67066G104
Voya Financial Advisors, Inc.;0001424367;9/30/2025;5096;28,027;;67066G104
LPL Financial LLC;0001403438;9/30/2025;5224;28,000;put;67066G104
Buckley Wealth Management, LLC;0001730126;9/30/2025;5223;27,997;;67066G104
HEADINVEST, LLC;0001372130;9/30/2025;5223;27,994;;67066G104
WEALTHGARDEN F.S. LLC;0002023633;9/30/2025;5102;27,939;;67066G104
ARGUS INVESTORS' COUNSEL, INC.;0000007195;9/30/2025;5212;27,936;;67066G104
